content,rating
aplikasi nya mudah dipakai' gampang dipahami,5
sangat membantu dan praktis,5
bru saja update faskes..smoga tgl 1 nnti udh bisa digunakan..,5
bagus,5
sangat membantu,5
mau rujukan bulan Februari tapi blm muncul² padahal bisanya bulan berikutnya udah muncul tapi ini malah engk,1
aplikasi jelek,1
mempermudah semuanya,4
puas,5
BAIK,5
"apk susah bngt mau masuk login ,",2
GK ribet,5
coba dulu,4
sangat membantu aplikasinya,5
top membantu sekali,5
pelayanan sudah mulai bagus terima kasih,5
bagus,5
knapa susah amat daftar nya. erorr mulu,1
server jelek,1
kereen,5
mempermudah skli,5
aplikasi pemerintah tapi lemotnya minta ampun,1
petugas sangat ramah dan enak dlm menjelaskan,5
puas pisan,5
ok,5
"bpjs gk jelas sistem dari pemerintahan mah selalu gk jelas ,orang sakit ingin sembuh kenak antri 3 jaman kumpul sama banyak orang sakit y ketularan penyakit lain apalagi pelayanannya lama banget emang gk banget",1
"sangat membantu, terima kasih",5
kenapa saya tidak bisa login ? padahal nomer imail dan no. hp sudah benar.,1
bagus,5
praktis dan mudah,5
Ok,5
mantap cepat sekali,5
baik bagusssss,5
sangat membantu dan cepat merespon,5
"dengan dibantu mahasiswi Unnes yang sedang magang di kantor BPJS Semarang ___hanya dalam beberapa menit setelah mengisi pulsa, membuat kombinasi huruf dan angka serta verifikasi iris mata ___proses pindah faskes selesai sukses berhasil dados. terima kasih",5
ribet susah frivikasi wajah gagal trus kode nya juga gagal trus,2
mantap info & pelayanannya,5
ok.....0k......,5
bagus membantu,5
sejauh ini masih sangat baik👍,5
"saya beri bintang 4 dulu,karena sampai hari ini saya belum bisa masuk dikarenakan lupa sandi.sudah dicoba opsiaonal pake sms,tetapi sampai sekarang sms kode verifikasi belum muncul juga.",4
sangat bermanfaat,5
sederhana cepat mantab,5
mudah,5
sangat membantu untuk merubah data peserta,5
sangat mempermudah,5
memuaskan,5
Terima kasih JKN,5
josss...layanan 165 call center sangat membantu sekali,5
biar kalian baca ini. Percuma suruh pakai JKN kalau ujung-ujungnyanya juga harus ambil nomor antrian kan tolol yang hakiki mau sehat aja ribet banget. Kalian fikir saya tidak bayar setiap bulan.? Saya bayar itu Rp. 150.000/bulan. Selama 6 tahun baru mau periksa begini kenapa harus dipersulit begini.? sedangkan setiap pembayaran selalu lancar tidak pernah macet soalnya waktu macet mau pakai blokir kartu segala. Coba kalian hitung sendiri 6thun x 150/bulan,5
saya belum pernah menggunakannya tapi saya positif dan sangat senang mengunakan,5
"Tiba-tiba di nonaktifkan di akhir bulan, untuk reaktivasi nya butuh waktu 2 minggu , terlalu lama",1
membantu masyarakat,5
mantabs,5
Alhamdulillah bisa mempermudah pindah fakes BPJS,5
lambat,1
kemudahan dalam penggunan aplikasi,5
👌,5
menggunakan aplikasi JKN lebih mudah the best pokok nya,5
"sangat bagus, gampang mengurus segala hal tanpa harus kekantornya langsung",5
palksh sangat bagus,5
"Kenapa aplikasi Mobile JKN tidak bisa diakses dihp saya, padahal sudah pembaruan aplikasi",4
sangat membantu dengan adanya aplikasi ini,5
Sangat membantu.,5
"mau daftar antrian sangat sulit, dudah pilih setuju juga balik gitu terus sama aja antri manual",1
"bobrok bgt fiturnya, selalu ada issues dan kayanya ga pernah d tanganin, contohnya mau bkin antrean online ttp gabisa dan gagal, ga efesien bgt wkwk, not recommended.",1
setelah di updte mlh suruh masuk dat lg. pdahal bertahun2 memakai apliksi ini. saya jdi.lupa passworndya,1
top,5
mantap,5
bekerja dengan baik,5
"aplikasi paling ga jelas, kalau belum siap Jangan Bikin Aplikasi, mempersulit pasien, tapi suruh bayar tiap bulan, payah",1
"Aplikasi apasih ini, awalnya doang bagus.. tolong di perbaiki, saya mau ambil rujukan tindak lanjut kok tdk bisa? kasi keluar akun trus coba masuk lagi eh malah katanya nomor NIK tdk terdaftar_- Padahal kan sebelumnya sudah terdaftar, apasih maksudnya.. katanya mau memudahkan, tpi malah bikin ribet aja",1
sangat2 membantu,5
rrusakkk,1
membantu sekali,5
good,5
good,5
mantap,5
"bagus , mantap , ok lah",5
semoga tetap membantu masyarakat lemah,5
"apk kebanyakan bug, tolong perbaiki",1
tidak bisa dnlood,5
cukup memadai,5
pelayanan sangat memuaskan,5
perbaiki lagi sistemnya dan lanjutkan,5
bagus,5
sangat membantu 👍🏻,5
hp hilang pasword lupa.trus log in nya gimana?,1
"aplikasi apa ini, mau update data dan pergantian nomor hp kok leletnya ampun,kode OTP ngga di kirim²",1
apk tolol,1
Ok,5
mudah digunakan sekarang.mudah2an kedepannya bisa rubah bpjs tdk berbayar ke berbayar lewat aplks,5
"aduh ini gimana sih cara verifikasi nya, udh minta ke SMS malah ke nomor org yg gtau itu siapa, pake email gabisa, verif muka jg susah padahal pencahayaan sudah bagus dan terang. bukannya mempercepat malah mempersulit, tolong di perbaiki !!",1
"baru juga mau daftar kenapa ini d bagian verifikasi wajah ga bisa mulu, ribett",1
sangat membantu. terimakasih..,5
sangat bagus,5
"hari sabtu masih aktif, hari senin nya malah nonaktifkan di akhir bulan,, mau aktifkan lagi ribet dengan segala drama nya..",2
mantap bagus,5
ini kenapa ya selalu gangguan jadinya susah login,2
Lumayan sangat membantu,5
good,4
sangat buruk sekali..app nya ga bisa masuk..tolong lah jangan di persulit kalo daftar..masa susah bnget,1
sangat membantu sekali dengan adanya aplikasi ini,5
penanganannya cepat,5
ok ok aja,5
pelayanan memuaskan,5
perubahan data dan tempat berobat cepat 🙏,5
"kirim kode verifikasi smsnya woi,bapak gua mau berobat",1
"Aplikasi BPJS terkesan dibuat tanpa mempertimbangkan kondisi nyata pengguna. Alurnya berbelit, banyak menu tidak intuitif, sering mengalami gangguan teknis, dan justru membuang waktu masyarakat yang membutuhkan layanan cepat. Ini ironis, mengingat BPJS adalah layanan publik yang seharusnya mengutamakan kemudahan akses, terutama bagi masyarakat awam dan lansia. Jika aplikasi terus seperti ini, fungsi digitalisasi justru gagal dan hanya memindahkan kerumitan dari loket ke layar ponsel.",1
ok,5
good,5
tidak bijak,1
baik,5
aplikasi ini ribet banget .mau berobat ajah harus betulin aplikasi berulang.gimana kalo orang skrat,1
𝙢𝙖𝙣𝙩𝙖𝙥,5
"d suruh verifikasi no hp,,katanya pilih salah satu metode,,berikut g ada pilihannya g jelas",1
Fitur dan Pelayanan lebih mudah serta lebih efisien.,5
siapp,4
antrean online nya tidak berfungsi ya min?,3
udh baik sejauh ini tapi baru baru ini kok ketika mau ambil antrian ke RSUD kok gk ada surat rujukan di mobile jkn nya padahal rujukannya udh dibuat mohon di perhatikan ya,5
jkn mobil mudah pemakaiannya,5
"pas daftar udah tulis no hp, eh suruh verivikasi akun lewat SMS sama email malah dibilang no hp gx tercantum, lha trs aku download dan daftar pake remote gitu. udah gitu call center nya pura"" budeg halo halo trs biar dikira sinyal jelek trs langsung ditutup. gx profesional.",1
Ok,4
jkn harus tambah maju,5
sanggat bagus,5
cukup membantu,5
"Gimana cara ngisi pas daftar akun baru, bagian kode referal?",5
lebih mudah,5
Sangat memuaskan,5
tiba tiba antrian poli di batalkan . ambil antrian ulang gagal simpan data untung masih jauh jauh hari pembatalan. kalau sudah dekat dipastikan tidak bisa terlayani dong . mana sekarang daftar di faskes 1dan selanjutnya sudah melalui apk jkn semua tolong lahhh aplikasi sudah bagus kalau seperti ini pengguna juga kecewa,1
mudah di gunakan,5
mantap,5
mantab,5
riwayat pelayanan yg dapat dilihat hanya pekerja nya saja sementara yang lain tidak bisa dilihat,3
"ini aplikasi kenapa sih,udah di isi jugak data' nya tapi tetap gak jalan' padahal udah pas email nya apalagi yang di permasalahkan",1
mantap,5
Terima kasih,5
sangat membantu,5
99% ribet di di kode referal,1
sangat membantu,5
mantap dan oke,5
👏,5
mudah,5
biang,5
pelayanannya sangat memuaskan,5
bagus,5
"aplikasi ini sangat cepat dan memudahkan peserta jkn, pokoknya mantap 👍",5
keren n sangat membantu,5
"sangat membantu kami yang jauh dari kota, dan sangat mudah digunakan",5
"tadinya saya suka aplikasi ini karena untuk ambil antrian tak perlu antri terlalu lama karena sudah tertera jam pelayanan di aplikasi setelah dapat kode booking. Jeleknya aplikasi ini hanya bisa untuk 3 akun login yang berbeda , seharusnya jangan dibatasi loginnya karena tidak semua lansia punya hp yang bisa dipasang aplikasi ini . tolong untuk batas akun yang bisa login di tambah lagi biar bisa bantu lebih banyak lansia yang tidak punya hp yang ada aplikasinya , maaf dan terimakasih",3
memudahkan kita untuk mendaftar ke poli tujuan kita,5
kesulitan mengambil antrian,1
"respon nya cepat,semoga tetap ber inovasi baru terus.",5
memberikan kemudahan kepada pengguna mobile JKN,5
baik,5
top,5
wah jadi gampang daftarnya,5
"berulang kali minta otp tp tidak ada SMS masuk, ke BPJS online tidak ada menu laporan untuk mendapatkan informasi yang diperlukan",3
mantap,5
"terima kasih,, aplikasi mudah digunakan,,",5
Sangat membantu,5
pelayanan cepat dan mudah,5
"aplikasi kaya sampah jelek banget,tiba tiba logout sendri,pas di verifikasi ulang malah gak bisa,padahal no nik ktp,passwordnya nya sama tapi gak bisa, tolong lah min di perbaikin lagi jgn di bikin susah.",1
"kenapa ya kalo mau daftar antrian di rumah sakit ga bisa, tapi kalo di puskesmas baru bisa, itupun hanya bisa daftar di 1 tempat",4
verifikasi SMS lambat mengirim...,2
tolong dong masa perekaman wajah gagal mlu di kantor nya ngantri panjang,1
bagus,5
bagus,5
bagus aplikasinya tidak ribet,5
mantap,5
"saya dapat nomor ke 2 di poli gigi, tapi kenapa yang di panggil malah yang Laen terlebih dahulu? apakah nama saya jelek atau mungkin memang sengaja?",1
tidak bisa di pakai scan barcode,1
JKN okay,5
tolong perbaiki aplikasi nggak ngelag sama jaringan internet,3
good,5
mantap,5
sangat membantu dalam pelayanan kesehatan,5
terimakasih atas bantuannya,5
mantaap,5
bagus sangat membantu.,5
sangat bagus,5
sangat membantu masyarakat luas,5
pelayanan memuaskan,5
aplikasi yg sangat membantu,5
aplikasi sering eror,1
mantap,5
"*selamat pagi ,,, waaaw luar biasa pelayanan dari SecWan a/n KK Khairunnisa ,,, saya & istri sangat amat merasa terbantu oleh pelayanan nya selain cantik baik dan ramaaaaah serta tutur cara bicaranya yg lembut mampu memberikan informasi yg sangat baik ,,, Sehat2 KK semoga di pertahankan selalu untuk pelayanannya di RS.SENTOSA*",5
aplikasi bagus,5
bagus,5
suiiiipppp,5
"19 januari 2026 tidak bisa ambil antrian, muncul notif user& pswd tidak sesuai -F1 jika tidak sesuai seharusnya juga tidak bisa login",1
bgus pelyanny,5
bagus sekali,5
"Mantap, aplikasinya sangat menolong. terimakasih JKN",5
oke,5
"yg kasih bintang 4 kebawah, otaknya tidak dipakai. aplikasi sebagus ini, mempermudah segala urusan berobat",5
"Membantu sekali..apalagi untuk nyari info, kadi gak ribet tanya sana sini😁 untuk merubah faskes juga gampang..",5
puas dg mobile jkn,5
Sangat Membantu dan Mudah,5
"aplikasinya sudah semakin bagus dari sebelumnya, terus tingkatkan pelayanan",5
sangat mudah,5
baik,5
aplikasi GK bisa di gunakan.. tambah mempersulit ..,1
otp gak masuk masuk gimana mau login,1
ok,5
Bagus aplikasinya,5
sangat membantu terimakasih 🙏🥰,5
"ini aplikasi bukannya memudahkan tapi malah bikin ribet. mau ambil antrian faskes 1 notifnya ""transaksi tidak dapat di proses"" terus aja.. udh seminggu, ngajuin pengadusn jawabannya malah disuruh daftar offline aja. heyyy tujuan dibuat aplikasi apa kalau ujung ujungnya disuruh daftar offline. gajelas",1
mantapp,5
aplikasi bosok,1
mantap,5
memudahkan sekali,5
Good,5
"Gue kesini dengan akun lain, sengaja memberi rating satu!! Setelah di-update, kudu log in kagak bisa! Padahal password udah bener! Buat kata sandi ulang, eh kudu pakek SMS, dikenain biaya pula, cih! Jaman kapan koq masih pakek SMS? Gue misqueen, yang ada cuman kuota seadanya, gak punya pulsa! Ya beginilah ciri khas aplikasi pemerintah! Amburadul!",1
"mempermudah sekali, sangat membantu. semoga semakin lebih mudah untuk pengguna jkn",5
untuk melengkapi data-data pribadi muda cepat tinggal di rubah di jkn terimakasih,5
aplikasi yang sangat bagus,5
ini knp setiap verifilasi ga dapet dapet no hp udh bener lwat sms atau wa,1
thanks BPJS kes,5
Bagus,5
"Sangat membantu masyarakat kecil , trimakasih jkn",5
"sejauh ini sudah oke, semoga tidak mengecewakan pengguna",5
sangat membantu sekali,5
😊,5
"gabisa verif lupa password, nyusahin ini aplikasi",1
jjjooss gandos,5
yaa lumayan ada perubahan,5
Sulit,5
saya pesan khusus semoga pelayanan kesehatan semakin ditingkatkan ya tetap saya beri bintang 🌟🌟🌟🌟🌟,5
"aplikasi tidak bisa di screenshoot, sangan mengganggu.",1
ok,5
jelek ga bisa verifikasi terus,1
bosok setiap update pasti loug in dlogok,1
"aplikasi gk bagus jika mau di pakai selalu daftar ulang masukin nik , pdhl sdh benar tpi salah terus, hem...",2
hey tolong intyk pemerintah sistem nya yang bagus yang lncr dong masak sudah daftar tiba2 salah sandi salah induk paaan aneh banget nomer tidak terdaftar imel juga hadeh kesel,1
sangat membantu.,5
kenapa elor trus setiap mau masukin nik sama kata sandi gagal mulu semuanya udah di cobain tolong perbaiki layanan aplikasi jkn mobile nya min soal nya mau di pake brobat min,1
bagus,5
tidak pernah mendapatkan kode verifikasi. udah coba berkali kali tidak pernah di respon,1
apk sangat membanfu sekali,5
"tiba-tiba keluar sendiri dan tidak bisa log in, dengan alasan sandi salah",1
bagus,5
mudah di akses,5
Aplikasinya sangat membantu,5
sangat di permudah👍👍👍,5
mudah di mengerti,5
"Mobile JLN,,, layanan Aplikasi online BPJS Kesehatan terpercaya dan recomended 👍",5
👍👍🥰,5
bagus,5
bagus,5
mantap,5
OK,5
sangat memuaskan,5
THANK YOU,5
mantap jadi lebih,5
good job,5
kenapa saya mau masuk nomer captcha tidak keluar???,3
mantap service nya,5
"screenshot di blokir, jadi kesulitan. saat kita sudah mendaftar antrean online, dan layar hape harus selalu ON.",1
sangat membantu,5
tidak ada konfirmasi via email tiba2 perubahan data.,4
pelayanannya bagus,5
saya mau ambil antrian buat rujukan malah g bisa log in... apl gini didanai pemerintah??? anda gak malu heh??,1
terbangtu dengan ada nya mobil jkn,5
sangat bermanfaaat,5
ok,5
bermanfaat,5
ok banget dan membantu,5
care center jg ga bisa di telp. apa emang BPJS nya ga care ama masyarakat. lumayan ya ngurangin jumlah penduduk.,1
bagus,5
ok,5
👍👍👍,5
baik,5
pengoperasian mudah dan cepat,5
sangat membantu,5
"aplikasi kenapa masih sering eror? tiap bulan ibu harus kontrol di faskes pertama. dan saat ambil antrean, sering sekali eror.",2
oke,5
"di riwayat pelayanan di bagian surat rujukan tidak muncul, hanya gambar putih kosong. mohon perbaiki bug nya, karena saya cukup kesulitan untuk melihat tanggal kapan habis nya tanggal rujukan. saya sudah update apknya dan sudah hapus dan download lagi apknya tapi tetap sama saja tidak muncul.terimakasih.",3
sangat bagus,5
sangat membantu,5
bagus,3
sangat baik,5
Bagus,5
puas,4
"terimakasih, sangat membantu",5
praktis dan membantu,5
semoga lancar jaya bermanfaat bagi keluarga,5
sangat membantu dan mudah di gunakan,5
ok,5
Terima kasih atas layanan yang baik!,5
baguss,5
ingin daftar autodebet tapi susah kali kirim otp via SMS. apa sudah pindah ke WA?,2
bagus,5
Memudahkan dalam pelayanan,5
apkl sangat membantu banget,5
"logout susah masuk untuk login padahal pasword sama nik sudah sama,payah",1
Semakin mudah pengoperasian nya menjadi semakin baik,5
sangat bermanfaat dan mempermudah layanan di faskes dan rumah sakit. terimakasih jkn,5
ok,5
Perbaruan aplikasi keluar sendiri lupa pasword tdk bisa menerima otp kok gitu,3
oke,5
tolong diperbaiki! susah masuk padahal sandi dan nik udah bener tetep aja ga bisa masuk masa harus daftar lagi dari awal,1
"sangat,membantu",4
sangat membantu tingkat kan lebih baik lagi,5
"benerin aplikasi nya,banyak masalahnya mau ambil antrean online gabisa, di laporin ke pengaduan malah disuruh daftar offline aja dirumah sakit,padahal itu membuat lama antri apalagi yg jarak jauh, susah kelamaan nunggu, katanya aplikasi buat mempermudah, mempermudah apanya kalo kayak gini",1
KA knph ko akun saya blm terverifikasi,5
sudah lebih baik pelayanannya dari pada dulu.,5
luar biasa keren banget....,5
sangat bagus sekali da sangat membantu,5
sangat membantu dan cepat segala proses,5
sementara kasih bintang 2 saja. karna di aplikasi saya lupa pswrd. mau buat pswrd baru via sms mlh gk ada masuk2 kode otp ny... tolong diperbaiki bugg ny... lagi urgent daftar onln gk bisa jdiny....,2
bagus,5
Bagus sangat membantu sekali dalam mengambil nomor antrian,5
semoga benar benar terjadi apa yg kita harapkan aamiin,5
Tolong untuk segera diperbaiki bug pada bagian perubahan data khususnya pada bagian pas mau verifikasi itu disuruh milih. tapi tidak ada list pilihannya !,2
apk gajelas gampang eror,1
"ini developernya kenapa dah, gw masukin nomor gw sndiri malah ada notif ""nomor anda sudah dipakai oleh pengguna lain"" maksudnya apaan dah, nomor gw blum pernah dipake apk ini, rusak""",1
mudah untuk pindah faskes,5
great,5
Peningkatan aplikasi udah lebih bagus,5
"login... data kependudukan dianggap salah melulu, ini urusan hidup mati, aneh...",1
"aplikasi nya bagus,mudah dimengerti",5
sedikit membantu,4
mantaap jkn mobile👍,5
baik,5
sangat membantu,5
Bagus dgn hasilnya,5
rubah data mudah,5
"Tolong dong buatin mode kamera belakang!, kasian yg punya anak bayi tantrum klo harus foto kamera depan mah!",1
sgt membantu,5
"saya sudah memaksukan data lengkap namun pas saya akan mengambil antrean selalu muncul ""anda sudah terdaftar dengan nomor rujukan yang sama"" tapi tidak keluar nomor antrean ya berapa🥱🥱",1
"sudah lebih bagus dari sebelumnya, Semoga tetap konsisten dan mempermudah masyarakat mengakses kesehatan dg mudah",5
Ini gimana ya mau daftar antrean terus di suruh verifikasi tapi disuruh milih verifikasi lewat apa ga ada keterangannya,1
sangat membantu,5
keren dan bagus,5
untuk aplikasi ini sangat membantu proses segalanya dan mudah dirumah juga bisa dan ingat biaya perubahan/penambahan apapun itu gratis,5
mudah dan bagus sangat terbantu,5
pelayanan sangat mudah,5
bagus,5
sangat bagus,5
terpecaya dan selalu ada,5
mantap dehhhh👍👍👍👍,5
ok sippp,5
mudah mengaplikasiin nya,5
mempermudah pelayanan kesehatan masyarakat,5
pelayanan baik ramah,5
keren,5
sangat mudah,5
bagus,4
"aplikasi pemerintah yg menyulitkan penggunanya. disuruh verifikasi ga bisa², verifikasi lewat nomor HP kode OTPnya ga dikirim, lewat verifikasi wajah gagal juga, keterangan nya lingkungan kurang terang, padahal udah terang banget tapi gagal juga",1
semoga berkah,5
tolong di perbaiki padahal baru login tpi ada tulisan gagal 2 kali aneh tolong banget di benerin apk nya nyusahin mau berobat jadi tertunda,1
saya kasih ⭐ 4 dulu... klo oke dalam layanan yg sy terima kembali esok hari ⭐ 10 pun sy berikan.,4
luar biasa,5
"hampir 20 tahun gk pernah telat bayar BPJS, dan belum pernah ke pakai sama sekali, sekali mau priksa daftar via online gk pernah bisa, gagal terus🤣, bintang 1 terlalu tinggi sih buat BPJS, harusnya gk ada bintang 🤭",1
bagus,5
"penuh terus, udah dikasih jadwal sama rsnya masih aja ga dikasih di apknya.",1
"membantu banget,terimakasih.",5
kenapa sayah kasih bintang 5 karna akses lebih mudah dan allhmdllh mau rubah data selalu Lancar,5
mudah cepat baik,5
mantap,5
aplikasi DOBOL,2
memudahkan,5
privasi sangat terjaga,4
Terlalu ribet saat dapat wajah harus senyum sedangkan ortu saya sakit buat senyum susah jd gagal daftar terus.,3
pelayanan terbaik,5
pindah faskes cepat top markotop,5
bsgus,4
"mengapa bintang 1, karena baru alami hari ini, mengenai perubahan faskes dan apalah itu sistem pusatnya, dimana ada kemungkinan kita sebagai pengguna tidak bisa menggunakan bpjs karena terhalang aturan perpindahan faskes atau apa, tolong diubah kembali agar penggunaan bpjs itu bisa dimana saja dan di faskes apa saja, mengapa perlu menunggu sekian tgl untuk dapat digunakan kembali, kecelakaan atau suatu hal ga bisa ditentukan oleh kita, besok bencana atau apa, bpjs ini untuk kesehatan kan",1
pas mau rujuk ini disuruh isi no hp kenapa pas saya mau kasih no hp selalsu ada bacaan permintaan anda belom dapat di proses,1
Aplikasi yang wajib punya dan sangat berguna,5
bagus,5
good. dengan member rating ***** semoga pelayanan kedepannya makin lebih baik lagi,5
"jangan ada verifikasi wajah emngnya yang sakit nya aga sedikit parah bisa nengok kiri kanan, please lah verifikasi wajah biasa aja bisa kan ribet banget sih",1
Semakin Ok,5
langsung satset,5
baguss,4
"nyesel,,setelah update..menu penting kekunci semua... mau konsultasi dokter jadi tidak bisa.",5
Tolong Sistem antrian Online Bagian KIA setiap hari sabtu selalu TIDAK BISA,5
bagus,5
👍👍,5
tidak bisa mengambil tangkapan layar milah hitam tidak jelas. bagaimana bisa di frint jika tidak ada screen shot biasa untuk tiket antrian kontrol ke RS imanuel bandung. tolong di perbaiki,3
terimakasih sangat membatu,5
okeeeeeee,5
"parah, gak bisa daftar .. stuck diverifikasi wajah.",1
Tidak bisa masukan no hp cuma blank putih di menu perubahan data pas nomor sdh di masukan...dan tidak bisa cetak kartu karena tidak muncul gambar jadi tidak bisa kirim ke email...tolong di perbaiki lagi.,3
kode verifikasi lama masuknya dan setelah keluar dari halaman login baru masuk kode verifikasinya,3
"terbaik,maka nya saya kasih bintang 5",5
sangat baik aplikasinya,5
mau ambil antrian susah bangt berhari hari begitu. sampe makin sakit. kacau,1
tolong di perbaiki lg donk..kenapa sekarang tidak bisa di screen sort..itu kan penting..dan anak ku yg 1 knp tidak masuk dalam 1 mobil jkn..jadi harus downlod pake hp yg lain,1
sangat membantu,5
ribet..,1
memudahkan untuk daftar pengobatan,5
aplikasi bodoh... suka keluar sendiri... suruh log in lagi yang punya akun lansia.. ga bisa daftar berobat... tolol ini aplikasi,1
bagus,5
Bagus,5
oke,5
ok,5
"""Pengalaman periksa mata di RS Siloam jadi lebih mudah berkat Mobile JKN. Saya bisa memantau jadwal dokter dan memastikan rujukan aktif tanpa harus bolak-balik tanya petugas. Fitur antrean online-nya juara, sangat menghemat waktu. Semua data pemeriksaan terekam dengan baik di aplikasi. Mantap!""",5
buat verivikasi gagal terus,1
"kenapa sangat sulit melakukan verifikasi wajah, tolong di mudahkan dalam verifikasi wajah",1
ok,5
bagus,5
apk Ter ribet,1
bagus,5
ok,5
kenapa sulit daftar ya,2
sangat membantu,5
ok,5
semoga bisa bermanfaat buat semua masyarakat umum,5
good,5
sangat bagus,5
"aplikasi jelek, sekarang jadi suka error gabisa daftar, giliran nyampe ke faskes 1 disuruh daftar lewat jkn, padahal pas di rumah gabisa daftar di jkn nya, keterangannya jadwal dokter tidak tersedia, atau penuh. ngerjain doang bolak balik, kalo ga bawa hp",1
"nyesal aku akses aplikasi ini, saat verifikasi data, selalu saja gagal & gagal selalu, aku bener"" nyesal 😡😡",1
mempermudah fasilitas kesehatan,5
ok,5
sy kasih bintang 🌟🌟🌟🌟🌟 krna apknya sngat membantu,5
"Sangat Membantu sekali, Pelayanan Mudah dan Cepat, Cara Praktis dan Instan.",5
"sangat buruk, lupa pasword ga bisa pakai email, pakai sms kena 4.000, sdh gitu msh ga bisa hrs ulang lg dan kena tarif. pemerintah maruk duit bgt",1
terimakasih aplikasi sangat membantu,5
mantap makin mudah sekarang,5
"saya sudah melakukan pendaftaran berkali2 ,tapi juga tidak bisa,pdahal saya mau berobat,karna semua rs klw bsa hrs daftar online pakai apk ini",1
bagus,5
"good sih, stabil, tingkatkan yaah, kesehatan adalah hal yg utamaa",5
bagus,5
all good,5
sangat membantu,5
susah verifikasi muka,2
MINTA KODE VERIFIKASI UDAH TIGA MINGGU GAK PERNAH DI KASI.. UDA NUNGGU LAMA TIBA2 ADA NOTIF ANDA OFFLINE.. KOCAK LU..,1
memudahkan,5
penggunaan praktis dan cepat,5
"Woy pemerintah kalau gak siap digital jangan dipaksakan, kami gak bisa skrining disini karena NIK tetap sama tetapi ada perubahan nomor KK setelah menikah/cerai otomatis data gak sinkron.",1
pengiriman kode OTP melalui SMS sangat lama. Bahkan tidak ada pengiriman kode OTP,1
aplikasi yang sangat membantu,5
"Mohon untuk daftar online saat periksa ke Klinik Mitra Medika Kaliwungu Kendal supaya jangka waktu nya diperpanjang. Supaya pasien bisa lebih prepare. Karena sejauh ini yang available hanya 2 hari. Coba di tingkatkan 1 Minggu. Supaya lebih efektif dan efesien bagi yang susah menentukan schedule, seperti para pekerja. Sedangkan nomor antrian sudah penuh tiba-tiba, belum lagi error. Terima kasih.",3
semoga lebih baik lagi,5
"sangat membantu, satset bnget",5
ok,5
sy mau login tapi diminta masukan nomor NIK tapi salah trussssss..ssss....apa harus sy kirim Poto KTP nya,3
"aplikasi aneh, mau apload foto buat ganti nomor telepon gagal terus",1
"kesel banget karna udah masuk apk 1 mnt sebelum pendaftaran dibuka eh pas udah mau pencet pendaftaran ambil nomor antrian gak bisa akhirnya klr trus buka apknya lagi udah masuk apknya malah udah gak bisa ambil antrian lagi, telat beberapa detik aja udah full tapi kalo standby duluan apknya lemot gak langsung bisa ambil antrian nyebelin banget apknya gak rekomended bangettt",1
Sangat membantu dan mudah di mengerti,5
bagus,5
gak bisa daftar,1
"apk belum siap 100%,masa kau ubah nomer wa dah masukin nomer trus suruh milih metode tpi pilihannya gk muncul",1
mantap,5
nicee,5
aplikasi khntlll..rekam muka aja lama begho,1
sangat membantu. terimakasih,5
cepat dan mudah,5
sangat bermanfaat,5
mempermudah akses berobat dan tidak perlu kekantor,5
